year,city,country,avg_temp_city,year,avg_temp_global
1982,La Paz,Bolivia,9.17,1982,8.64
1983,La Paz,Bolivia,10.31,1983,9.03
1984,La Paz,Bolivia,9.08,1984,8.69
1985,La Paz,Bolivia,9.32,1985,8.66
1986,La Paz,Bolivia,8.97,1986,8.83
1987,La Paz,Bolivia,10.00,1987,8.99
1988,La Paz,Bolivia,9.43,1988,9.20
1989,La Paz,Bolivia,8.94,1989,8.92
1990,La Paz,Bolivia,9.24,1990,9.23
1991,La Paz,Bolivia,9.45,1991,9.18
1992,La Paz,Bolivia,9.47,1992,8.84
1993,La Paz,Bolivia,9.36,1993,8.87
1994,La Paz,Bolivia,9.59,1994,9.04
1995,La Paz,Bolivia,9.52,1995,9.35
1996,La Paz,Bolivia,8.94,1996,9.04
1997,La Paz,Bolivia,9.26,1997,9.20
1998,La Paz,Bolivia,9.83,1998,9.52
1999,La Paz,Bolivia,8.67,1999,9.29
2000,La Paz,Bolivia,8.93,2000,9.20
2001,La Paz,Bolivia,9.00,2001,9.41
2002,La Paz,Bolivia,9.29,2002,9.57
2003,La Paz,Bolivia,8.97,2003,9.53
2004,La Paz,Bolivia,9.41,2004,9.32
2005,La Paz,Bolivia,8.90,2005,9.70
2006,La Paz,Bolivia,9.19,2006,9.53
2007,La Paz,Bolivia,9.08,2007,9.73
2008,La Paz,Bolivia,8.85,2008,9.43
2009,La Paz,Bolivia,9.29,2009,9.51
2010,La Paz,Bolivia,9.60,2010,9.70
2011,La Paz,Bolivia,9.28,2011,9.52
2012,La Paz,Bolivia,9.26,2012,9.51
2013,La Paz,Bolivia,8.64,2013,9.61
